gen	nevals	avg     	std       	min     	max
412	5     	0.514453	0.00510808	0.492188	0.515625
413	18    	0.509766	0.0101487 	0.492188	0.515625
414	12    	0.507422	0.011179  	0.492188	0.515625
415	12    	0.510938	0.009375  	0.492188	0.515625
416	9     	0.512109	0.00836886	0.492188	0.515625
417	10    	0.512109	0.00836886	0.492188	0.515625
418	10    	0.510938	0.009375  	0.492188	0.515625
419	9     	0.510938	0.009375  	0.492188	0.515625
420	13    	0.510938	0.009375  	0.492188	0.515625
421	10    	0.510938	0.009375  	0.492188	0.515625
422	10    	0.512109	0.00836886	0.492188	0.515625
423	12    	0.508594	0.0107404 	0.492188	0.515625
424	11    	0.513281	0.00703125	0.492188	0.515625
425	11    	0.509766	0.0101487 	0.492188	0.515625
426	10    	0.510938	0.009375  	0.492188	0.515625
427	8     	0.512109	0.00836886	0.492188	0.515625
428	7     	0.514453	0.00510808	0.492188	0.515625
429	14    	0.50625 	0.011482  	0.492188	0.515625
430	11    	0.514453	0.00510808	0.492188	0.515625
431	11    	0.512109	0.00836886	0.492188	0.515625
432	11    	0.512109	0.00836886	0.492188	0.515625
433	12    	0.512109	0.00836886	0.492188	0.515625
434	7     	0.513281	0.00703125	0.492188	0.515625
435	11    	0.514453	0.00510808	0.492188	0.515625
436	15    	0.513281	0.00703125	0.492188	0.515625
437	9     	0.509766	0.0101487 	0.492188	0.515625
438	17    	0.508594	0.0107404 	0.492188	0.515625
439	12    	0.512109	0.00836886	0.492188	0.515625
440	8     	0.510938	0.009375  	0.492188	0.515625
441	11    	0.513281	0.00703125	0.492188	0.515625
442	8     	0.509766	0.0101487 	0.492188	0.515625
443	10    	0.509766	0.0101487 	0.492188	0.515625
444	11    	0.509766	0.0101487 	0.492188	0.515625
445	9     	0.510938	0.009375  	0.492188	0.515625
446	13    	0.508594	0.0107404 	0.492188	0.515625
447	13    	0.513281	0.00703125	0.492188	0.515625
448	16    	0.512109	0.00836886	0.492188	0.515625
449	8     	0.508594	0.0107404 	0.492188	0.515625
450	8     	0.513281	0.00703125	0.492188	0.515625
451	11    	0.510938	0.009375  	0.492188	0.515625
452	14    	0.509766	0.0101487 	0.492188	0.515625
453	13    	0.512109	0.00836886	0.492188	0.515625
454	12    	0.513281	0.00703125	0.492188	0.515625
455	15    	0.507422	0.011179  	0.492188	0.515625
456	13    	0.507422	0.011179  	0.492188	0.515625
457	10    	0.510938	0.009375  	0.492188	0.515625
458	11    	0.510938	0.009375  	0.492188	0.515625
459	15    	0.512109	0.00836886	0.492188	0.515625
460	14    	0.508594	0.0107404 	0.492188	0.515625
461	16    	0.510938	0.009375  	0.492188	0.515625
462	16    	0.510938	0.009375  	0.492188	0.515625
463	9     	0.512109	0.00836886	0.492188	0.515625
464	13    	0.512109	0.00836886	0.492188	0.515625
465	17    	0.513281	0.00703125	0.492188	0.515625
466	14    	0.50625 	0.011482  	0.492188	0.515625
467	12    	0.512109	0.00836886	0.492188	0.515625
468	9     	0.512109	0.00836886	0.492188	0.515625
469	16    	0.50625 	0.011482  	0.492188	0.515625
470	12    	0.510938	0.009375  	0.492188	0.515625
471	15    	0.508594	0.0107404 	0.492188	0.515625
472	18    	0.513281	0.00703125	0.492188	0.515625
473	9     	0.513281	0.00703125	0.492188	0.515625
474	14    	0.510938	0.009375  	0.492188	0.515625
475	15    	0.510938	0.009375  	0.492188	0.515625
476	18    	0.512109	0.00836886	0.492188	0.515625
477	16    	0.510938	0.009375  	0.492188	0.515625
478	10    	0.514453	0.00510808	0.492188	0.515625
479	12    	0.508594	0.0107404 	0.492188	0.515625
480	12    	0.508594	0.0107404 	0.492188	0.515625
481	12    	0.513281	0.00703125	0.492188	0.515625
482	12    	0.508594	0.0107404 	0.492188	0.515625
483	15    	0.512109	0.00836886	0.492188	0.515625
484	10    	0.510938	0.009375  	0.492188	0.515625
485	15    	0.510938	0.009375  	0.492188	0.515625
486	16    	0.510938	0.009375  	0.492188	0.515625
487	12    	0.507422	0.011179  	0.492188	0.515625
488	12    	0.513281	0.00703125	0.492188	0.515625
489	9     	0.509766	0.0101487 	0.492188	0.515625
490	14    	0.513281	0.00703125	0.492188	0.515625
491	13    	0.507422	0.011179  	0.492188	0.515625
492	10    	0.508594	0.0107404 	0.492188	0.515625
493	12    	0.508594	0.0107404 	0.492188	0.515625
494	9     	0.513281	0.00703125	0.492188	0.515625
495	12    	0.508594	0.0107404 	0.492188	0.515625
496	10    	0.508594	0.0107404 	0.492188	0.515625
497	17    	0.507422	0.011179  	0.492188	0.515625
498	11    	0.512109	0.00836886	0.492188	0.515625
499	12    	0.514453	0.00510808	0.492188	0.515625
500	18    	0.514453	0.00510808	0.492188	0.515625
501	13    	0.510938	0.009375  	0.492188	0.515625
502	10    	0.512109	0.00836886	0.492188	0.515625
